time,date,AJ1440,VR2386,EBV374,TCX177,ZOZ283
12:55,27-03-2023,-23525.0,-16574.0,,,
12:56,27-03-2023,-25633.0,-16469.0,,,
12:57,27-03-2023,-25948.0,-15379.0,,,
12:58,27-03-2023,-24920.0,-14574.0,,,
12:59,27-03-2023,-24943.0,-14814.0,,,
12:59,27-03-2023,-24943.0,-14814.0,,,
13:00,27-03-2023,-26015.0,-11239.0,,,
13:01,27-03-2023,-28498.0,-10659.0,,,
13:02,27-03-2023,-28078.0,-11274.0,,,
13:03,27-03-2023,-29368.0,-10764.0,,,
13:04,27-03-2023,-29128.0,-11329.0,,,
13:05,27-03-2023,-28970.0,-9919.0,,,
13:06,27-03-2023,-28438.0,-11964.0,,,
13:07,27-03-2023,-29675.0,-10614.0,,,
13:08,27-03-2023,-30313.0,-12329.0,,,
13:09,27-03-2023,-28768.0,-11334.0,,,
13:10,27-03-2023,-28483.0,-11229.0,,,
13:11,27-03-2023,-28213.0,-11769.0,,,
13:12,27-03-2023,-30043.0,-12084.0,,,
13:13,27-03-2023,-30335.0,-13689.0,,,
13:14,27-03-2023,-32848.0,-11499.0,,,
13:15,27-03-2023,-32953.0,-12339.0,,,
13:16,27-03-2023,-33050.0,-11094.0,,,
13:17,27-03-2023,-32135.0,-14204.0,,,
13:18,27-03-2023,-31970.0,-13199.0,,,
13:19,27-03-2023,-31910.0,-11379.0,,,
13:20,27-03-2023,-30853.0,-11219.0,,,
13:21,27-03-2023,-32090.0,-13029.0,,,
13:22,27-03-2023,-33658.0,-14194.0,,,
13:23,27-03-2023,-33853.0,-13084.0,,,
13:24,27-03-2023,-32540.0,-12599.0,,,
13:25,27-03-2023,-33898.0,-11899.0,,,
13:26,27-03-2023,-33560.0,-13114.0,,,
13:27,27-03-2023,-33703.0,-14604.0,,,
13:28,27-03-2023,-35165.0,-16014.0,,,
13:29,27-03-2023,-31310.0,-13239.0,,,
13:30,27-03-2023,-31685.0,-11524.0,,,
13:31,27-03-2023,-31933.0,-12209.0,,,
13:32,27-03-2023,-30538.0,-10984.0,,,
13:33,27-03-2023,-29855.0,-9249.0,,,
13:34,27-03-2023,-28918.0,-10569.0,,,
13:35,27-03-2023,-29053.0,-9669.0,,,
13:36,27-03-2023,-30163.0,-10729.0,,,
13:37,27-03-2023,-30793.0,-11354.0,,,
13:38,27-03-2023,-30628.0,-10954.0,,,
13:39,27-03-2023,-32165.0,-9634.0,,,
13:40,27-03-2023,-31798.0,-11569.0,,,
13:41,27-03-2023,-30035.0,-7894.0,,,
13:42,27-03-2023,-27905.0,-7794.0,,,
13:43,27-03-2023,-26690.0,-6379.0,,,
13:44,27-03-2023,-29818.0,-7229.0,,,
13:45,27-03-2023,-29458.0,-7204.0,,,
13:46,27-03-2023,-29188.0,-11604.0,,,
13:47,27-03-2023,-26555.0,-7804.0,,,
13:48,27-03-2023,-29128.0,-6589.0,,,
13:49,27-03-2023,-29848.0,-8104.0,,,
13:50,27-03-2023,-28123.0,-7764.0,,,
13:51,27-03-2023,-27620.0,-7749.0,,,
13:52,27-03-2023,-25625.0,-2209.0,,,
13:53,27-03-2023,-24253.0,-4269.0,,,
