date,AJ1440,VR2386,EBV374,TCX177,ZOZ283
23-03-2023,-14093.75,-148056.25,,,
27-03-2023,-33567.5,9345.0,,,
2023-03-28,7044.0,56387.5,,,
2023-03-29,6183.75,46974.99999999997,52107.5,8612.499999999996,21733.75
